same_name_cities
Alcobaça
Almeirim
Amarante
Anadia
Aveiro
Barcelos
Borba
Braga
Bragança
Cantanhede
Chaves
Coimbra
Faro
Fátima
Fundão
Gouveia
Guimarães
Lagoa
Lagoa
Ourém
Pombal
Portalegre
Porto
Queluz
Rio Tinto
Santa Cruz
Santana
Santarém
São Pedro do Sul
Silves
Valença
Viseu
